report_id,data_riferimento,regione,perc1_ass,perc2_ass,perc3_ass,perc4_ass,perc5_ass,perc1_pc,perc2_pc,perc3_pc,perc4_pc,perc5_pc
INAPP_Focus-GOL_4-2025,2025-02-28,Lazio,135355,45056,45887,2061,10,59.3,19.7,20.1,0.9,0
INAPP_Focus-GOL_4-2025,2025-02-28,Liguria,38631,8311,9060,2997,0,65.5,14.1,15.4,5.1,0
INAPP_Focus-GOL_4-2025,2025-02-28,Lombardia,225363,118284,53661,16787,82,54.4,28.6,13,4.1,0
INAPP_Focus-GOL_4-2025,2025-02-28,Marche,73251,17367,8659,1686,0,72.6,17.2,8.6,1.7,0
INAPP_Focus-GOL_4-2025,2025-02-28,Molise,3329,2741,3853,112,186,32.6,26.8,37.7,1.1,1.8
INAPP_Focus-GOL_4-2025,2025-02-28,Piemonte,114356,51104,33999,20610,4,52,23.2,15.4,9.4,0
INAPP_Focus-GOL_4-2025,2025-02-28,Puglia,125412,96827,86136,6866,0,39.8,30.7,27.3,2.2,0
INAPP_Focus-GOL_4-2025,2025-02-28,Sardegna,91705,39435,26487,3149,391,56.9,24.5,16.4,2,0.2
INAPP_Focus-GOL_4-2025,2025-02-28,Sicilia,193042,105385,149661,13479,806,41.8,22.8,32.4,2.9,0.2
INAPP_Focus-GOL_4-2025,2025-02-28,Toscana,171309,52550,23736,8966,0,66.8,20.5,9.3,3.5,0
INAPP_Focus-GOL_4-2025,2025-02-28,P.A. Trento,13483,6002,1307,1737,0,59.8,26.6,5.8,7.7,0
INAPP_Focus-GOL_4-2025,2025-02-28,Umbria,40340,8444,7261,1182,153,70.3,14.7,12.7,2.1,0.3
INAPP_Focus-GOL_4-2025,2025-02-28,Veneto,139140,119518,18942,8730,698,48.5,41.6,6.6,3,0.2
INAPP_Focus-GOL_4-2025,2025-02-28,Totale,1880566,919216,766221,140678,4572,50.7,24.8,20.6,3.8,0.1
INAPP_Focus-GOL_5-2025,2025-03-31,Abruzzo,42360,10658,11924,868,0,64.4,16.2,18.1,1.3,0
INAPP_Focus-GOL_5-2025,2025-03-31,Basilicata,20060,7951,15219,374,2,46,18.2,34.9,0.9,0
INAPP_Focus-GOL_5-2025,2025-03-31,P.A. Bolzano,10618,3460,546,695,0,69.3,22.6,3.6,4.5,0
INAPP_Focus-GOL_5-2025,2025-03-31,Calabria,67659,38295,46772,4068,1057,42.9,24.3,29.6,2.6,0.7
INAPP_Focus-GOL_5-2025,2025-03-31,Campania,160650,116008,203851,28063,873,31.5,22.8,40,5.5,0.2
INAPP_Focus-GOL_5-2025,2025-03-31,Emilia-Romagna,155079,54363,20116,15963,30,63.2,22.1,8.2,6.5,0
INAPP_Focus-GOL_5-2025,2025-03-31,Friuli-Venezia Giulia,71718,24786,8374,2626,411,66.5,23,7.8,2.4,0.4
INAPP_Focus-GOL_5-2025,2025-03-31,Lazio,139037,45973,47645,2076,10,59.2,19.6,20.3,0.9,0
INAPP_Focus-GOL_5-2025,2025-03-31,Liguria,40127,8407,9382,3121,0,65.7,13.8,15.4,5.1,0
INAPP_Focus-GOL_5-2025,2025-03-31,Lombardia,234771,121643,55519,17199,89,54.7,28.3,12.9,4,0
INAPP_Focus-GOL_5-2025,2025-03-31,Marche,75352,17705,8834,1736,0,72.7,17.1,8.5,1.7,0
INAPP_Focus-GOL_5-2025,2025-03-31,Molise,3566,2933,4107,113,310,32.3,26.6,37.2,1,2.8
INAPP_Focus-GOL_5-2025,2025-03-31,Piemonte,119139,52707,35641,21976,54,51.9,23,15.5,9.6,0
INAPP_Focus-GOL_5-2025,2025-03-31,Puglia,128046,99873,89478,6946,0,39.5,30.8,27.6,2.1,0
INAPP_Focus-GOL_5-2025,2025-03-31,Sardegna,93645,40181,27027,3156,727,56.8,24.4,16.4,1.9,0.4
INAPP_Focus-GOL_5-2025,2025-03-31,Sicilia,198364,108020,152978,13544,799,41.9,22.8,32.3,2.9,0.2
INAPP_Focus-GOL_5-2025,2025-03-31,Toscana,177094,54401,24306,9130,0,66.8,20.5,9.2,3.4,0
INAPP_Focus-GOL_5-2025,2025-03-31,P.A. Trento,14050,6163,1351,1813,0,60.1,26.4,5.8,7.8,0
INAPP_Focus-GOL_5-2025,2025-03-31,Umbria,41410,8570,7546,1245,235,70.2,14.5,12.8,2.1,0.4
INAPP_Focus-GOL_5-2025,2025-03-31,Veneto,143283,123760,19320,8913,725,48.4,41.8,6.5,3,0.2
INAPP_Focus-GOL_5-2025,2025-03-31,Totale,1939150,947277,790147,144886,5325,50.7,24.8,20.6,3.8,0.1
INAPP_Focus-GOL_6-2025,2025-04-30,Abruzzo,43311,11031,12213,890,0,64.2,16.4,18.1,1.3,0
INAPP_Focus-GOL_6-2025,2025-04-30,Basilicata,20682,8016,15642,377,5,46.2,17.9,35,0.8,0
INAPP_Focus-GOL_6-2025,2025-04-30,P.A. Bolzano,10963,3523,552,719,0,69.6,22.4,3.5,4.6,0
INAPP_Focus-GOL_6-2025,2025-04-30,Calabria,69229,40556,47998,4153,1063,42.5,24.9,29.4,2.5,0.7
INAPP_Focus-GOL_6-2025,2025-04-30,Campania,163832,117553,209256,28461,901,31.5,22.6,40.2,5.5,0.2
INAPP_Focus-GOL_6-2025,2025-04-30,Emilia-Romagna,159455,56309,20760,16686,32,63,22.2,8.2,6.6,0
INAPP_Focus-GOL_6-2025,2025-04-30,Friuli-Venezia Giulia,73182,25221,8581,2692,422,66.5,22.9,7.8,2.4,0.4
INAPP_Focus-GOL_6-2025,2025-04-30,Lazio,142009,46760,48997,2089,39,59.2,19.5,20.4,0.9,0
INAPP_Focus-GOL_6-2025,2025-04-30,Liguria,41499,8489,9638,3198,9,66,13.5,15.3,5.1,0
INAPP_Focus-GOL_6-2025,2025-04-30,Lombardia,244727,125414,57258,17662,99,55,28.2,12.9,4,0
INAPP_Focus-GOL_6-2025,2025-04-30,Marche,77256,17999,8974,1778,0,72.9,17,8.5,1.7,0
INAPP_Focus-GOL_6-2025,2025-04-30,Molise,3806,3119,4233,114,311,32.9,26.9,36.5,1,2.7
INAPP_Focus-GOL_6-2025,2025-04-30,Piemonte,123522,54022,37115,23252,513,51.8,22.7,15.6,9.8,0.2
INAPP_Focus-GOL_6-2025,2025-04-30,Puglia,130733,102565,92690,7039,0,39.3,30.8,27.8,2.1,0
INAPP_Focus-GOL_6-2025,2025-04-30,Sardegna,95284,40852,27559,3191,729,56.8,24.4,16.4,1.9,0.4
INAPP_Focus-GOL_6-2025,2025-04-30,Sicilia,203139,110422,155921,13594,799,42,22.8,32.2,2.8,0.2
INAPP_Focus-GOL_6-2025,2025-04-30,Toscana,182155,56397,24882,9343,0,66.8,20.7,9.1,3.4,0
INAPP_Focus-GOL_6-2025,2025-04-30,P.A. Trento,14591,6289,1374,1888,0,60.4,26.1,5.7,7.8,0
INAPP_Focus-GOL_6-2025,2025-04-30,Umbria,42363,8667,7803,1275,278,70.2,14.4,12.9,2.1,0.5
INAPP_Focus-GOL_6-2025,2025-04-30,Veneto,146437,127586,19625,9007,750,48.3,42.1,6.5,3,0.2
INAPP_Focus-GOL_6-2025,2025-04-30,Totale,1991445,972258,811284,148700,5953,50.7,24.7,20.6,3.8,0.2
INAPP_Focus-GOL_7-2025,2025-05-31,Abruzzo,44287,11426,12467,910,0,64.1,16.5,18,1.3,0
INAPP_Focus-GOL_7-2025,2025-05-31,Basilicata,21249,8094,16257,387,4,46.2,17.6,35.3,0.8,0
INAPP_Focus-GOL_7-2025,2025-05-31,P.A. Bolzano,11275,3576,553,744,0,69.8,22.1,3.4,4.6,0
INAPP_Focus-GOL_7-2025,2025-05-31,Calabria,70779,41904,49308,4262,1077,42.3,25,29.5,2.5,0.6
INAPP_Focus-GOL_7-2025,2025-05-31,Campania,167328,119089,215844,28993,992,31.4,22.4,40.6,5.4,0.2
INAPP_Focus-GOL_7-2025,2025-05-31,Emilia-Romagna,163665,58148,21433,17371,32,62.8,22.3,8.2,6.7,0
INAPP_Focus-GOL_7-2025,2025-05-31,Friuli-Venezia Giulia,74763,25660,8762,2760,433,66.5,22.8,7.8,2.5,0.4
INAPP_Focus-GOL_7-2025,2025-05-31,Lazio,144711,47490,50492,2113,831,58.9,19.3,20.6,0.9,0.3
INAPP_Focus-GOL_7-2025,2025-05-31,Liguria,42794,8593,9900,3283,13,66.3,13.3,15.3,5.1,0
INAPP_Focus-GOL_7-2025,2025-05-31,Lombardia,254250,129056,58947,18073,105,55.2,28,12.8,3.9,0
INAPP_Focus-GOL_7-2025,2025-05-31,Marche,79189,18330,9095,1828,0,73,16.9,8.4,1.7,0
INAPP_Focus-GOL_7-2025,2025-05-31,Molise,3993,3295,4473,116,311,32.8,27,36.7,1,2.6
INAPP_Focus-GOL_7-2025,2025-05-31,Piemonte,128077,55319,38379,24463,589,51.9,22.4,15.5,9.9,0.2
INAPP_Focus-GOL_7-2025,2025-05-31,Puglia,133511,105485,96303,7146,0,39,30.8,28.1,2.1,0
INAPP_Focus-GOL_7-2025,2025-05-31,Sardegna,96842,41675,28310,3226,730,56.7,24.4,16.6,1.9,0.4
INAPP_Focus-GOL_7-2025,2025-05-31,Sicilia,208658,113344,159549,13671,799,42.1,22.9,32.2,2.8,0.2
INAPP_Focus-GOL_7-2025,2025-05-31,Toscana,186918,58080,25409,9584,17,66.8,20.7,9.1,3.4,0
INAPP_Focus-GOL_7-2025,2025-05-31,P.A. Trento,15064,6414,1396,1947,0,60.7,25.8,5.6,7.8,0
INAPP_Focus-GOL_7-2025,2025-05-31,Umbria,43394,8844,8044,1323,281,70.1,14.3,13,2.1,0.5
INAPP_Focus-GOL_7-2025,2025-05-31,Veneto,150031,132440,19978,9139,789,48,42.4,6.4,2.9,0.3
INAPP_Focus-GOL_7-2025,2025-05-31,Totale,2044233,997774,835116,152656,7006,50.6,24.7,20.7,3.8,0.2
INAPP_Focus-GOL_8-2025,2025-06-30,Abruzzo,45041,11674,12677,921,0,64.1,16.6,18,1.3,0
INAPP_Focus-GOL_8-2025,2025-06-30,Basilicata,22015,8171,16360,404,4,46.9,17.4,34.8,0.9,0
INAPP_Focus-GOL_8-2025,2025-06-30,P.A. Bolzano,11540,3617,554,763,0,70,22,3.4,4.6,0
INAPP_Focus-GOL_8-2025,2025-06-30,Calabria,72363,42812,50442,4338,1138,42.3,25,29.5,2.5,0.7
INAPP_Focus-GOL_8-2025,2025-06-30,Campania,170589,120363,221419,29403,998,31.4,22.2,40.8,5.4,0.2
INAPP_Focus-GOL_8-2025,2025-06-30,Emilia-Romagna,168093,59847,22180,18054,34,62.7,22.3,8.3,6.7,0
INAPP_Focus-GOL_8-2025,2025-06-30,Friuli-Venezia Giulia,76249,26081,8955,2838,462,66.5,22.8,7.8,2.5,0.4
INAPP_Focus-GOL_8-2025,2025-06-30,Lazio,147860,48254,51719,2136,1021,58.9,19.2,20.6,0.9,0.4
INAPP_Focus-GOL_8-2025,2025-06-30,Liguria,43968,8679,10146,3385,19,66.4,13.1,15.3,5.1,0
INAPP_Focus-GOL_8-2025,2025-06-30,Lombardia,263178,132425,60833,18410,110,55.4,27.9,12.8,3.9,0
INAPP_Focus-GOL_8-2025,2025-06-30,Marche,81133,18660,9199,1872,0,73.2,16.8,8.3,1.7,0
INAPP_Focus-GOL_8-2025,2025-06-30,Molise,4188,3462,4698,116,311,32.8,27.1,36.8,0.9,2.4
INAPP_Focus-GOL_8-2025,2025-06-30,Piemonte,131926,56821,39703,25579,649,51.8,22.3,15.6,10,0.3
INAPP_Focus-GOL_8-2025,2025-06-30,Puglia,136195,108214,100190,7241,0,38.7,30.8,28.5,2.1,0
INAPP_Focus-GOL_8-2025,2025-06-30,Sardegna,97886,42213,29636,3271,730,56.3,24.3,17.1,1.9,0.4
INAPP_Focus-GOL_8-2025,2025-06-30,Sicilia,217446,116659,163375,13730,801,42.5,22.8,31.9,2.7,0.2
INAPP_Focus-GOL_8-2025,2025-06-30,Toscana,191359,59456,25870,9997,32,66.7,20.7,9,3.5,0
INAPP_Focus-GOL_8-2025,2025-06-30,P.A. Trento,15437,6566,1422,2007,0,60.7,25.8,5.6,7.9,0
INAPP_Focus-GOL_8-2025,2025-06-30,Umbria,44412,9018,8296,1368,319,70,14.2,13.1,2.2,0.5
INAPP_Focus-GOL_8-2025,2025-06-30,Veneto,153822,137448,20517,9278,936,47.8,42.7,6.4,2.9,0.3
INAPP_Focus-GOL_8-2025,2025-06-30,Totale,2098311,1021981,858414,156454,7567,50.7,24.7,20.7,3.8,0.2
INAPP_Focus-GOL_9-2025,2025-08-31,Abruzzo,46694,12210,13089,946,0,64,16.7,17.9,1.3,0
INAPP_Focus-GOL_9-2025,2025-08-31,Basilicata,25684,8371,16617,532,4,50.2,16.3,32.5,1,0
INAPP_Focus-GOL_9-2025,2025-08-31,P.A. Bolzano,12057,3715,560,796,0,70.4,21.7,3.3,4.6,0
INAPP_Focus-GOL_9-2025,2025-08-31,Calabria,78745,44146,52025,4443,1155,43.6,24.5,28.8,2.5,0.6
INAPP_Focus-GOL_9-2025,2025-08-31,Campania,179905,123143,231703,30222,1070,31.8,21.8,40.9,5.3,0.2
INAPP_Focus-GOL_9-2025,2025-08-31,Emilia-Romagna,175782,62111,23466,19162,37,62.7,22.1,8.4,6.8,0
INAPP_Focus-GOL_9-2025,2025-08-31,Friuli-Venezia Giulia,80909,26750,9590,2931,583,67,22.2,7.9,2.4,0.5
INAPP_Focus-GOL_9-2025,2025-08-31,Lazio,158340,49857,54258,2189,1088,59.6,18.8,20.4,0.8,0.4
INAPP_Focus-GOL_9-2025,2025-08-31,Liguria,46266,8800,10525,3519,19,66.9,12.7,15.2,5.1,0
INAPP_Focus-GOL_9-2025,2025-08-31,Lombardia,294492,139064,79504,19170,128,55.3,26.1,14.9,3.6,0
INAPP_Focus-GOL_9-2025,2025-08-31,Marche,85087,19265,9389,2051,1,73.5,16.6,8.1,1.8,0
INAPP_Focus-GOL_9-2025,2025-08-31,Molise,4970,3820,5044,119,311,34.8,26.8,35.4,0.8,2.2
INAPP_Focus-GOL_9-2025,2025-08-31,Piemonte,140093,59145,42049,27616,850,51.9,21.9,15.6,10.2,0.3
INAPP_Focus-GOL_9-2025,2025-08-31,Puglia,151749,113464,106068,7408,0,40.1,30,28,2,0
INAPP_Focus-GOL_9-2025,2025-08-31,Sardegna,103597,43392,31904,3314,756,56.6,23.7,17.4,1.8,0.4
INAPP_Focus-GOL_9-2025,2025-08-31,Sicilia,248854,123838,173184,14032,931,44.4,22.1,30.9,2.5,0.2
INAPP_Focus-GOL_9-2025,2025-08-31,Toscana,207849,62365,26914,10995,97,67.4,20.2,8.7,3.6,0
INAPP_Focus-GOL_9-2025,2025-08-31,P.A. Trento,16157,6871,1506,2165,0,60.5,25.7,5.6,8.1,0
INAPP_Focus-GOL_9-2025,2025-08-31,Umbria,46823,9411,8668,1493,355,70.1,14.1,13,2.2,0.5
INAPP_Focus-GOL_9-2025,2025-08-31,Veneto,159997,145466,21050,9403,1010,47.5,43.2,6.2,2.8,0.3
INAPP_Focus-GOL_9-2025,2025-08-31,Totale,2268005,1066791,917348,163896,8398,51.3,24.1,20.7,3.7,0.2
